,test data,actual topic,predicted topic
0,"japan warns u.s. it may retaliate in trade dispute japan warned the united states it may take retaliatory measures if the united states imposes its planned trade sanctions on april 17, a senior government official said.     shinji fukukawa, vice minister of the international trade and industry ministry, said in a statement japan would consider measures under the general agreement on tariffs and trade and other actions if the united states imposes 100 pct tariffs on some japanese exports as planned next week.     however, fukukawa said japan was ready to continue trade talks with the united states despite its failure to convince america to call off the threatened tariffs during two days of emergency talks which ended in washington yesterday.     last month president reagan announced the sanctions in retaliation for what he called japan's failure to honour a july 1986 agreement to stop dumping computer microchips in markets outside the united states and to open its home market to american goods.     fukukawa said the united states had regrettably not listened to japan's explanation of its efforts to live up the pact and said washington had not given any detailed explanation of why it planned to impose the tariffs.  reuter ;","('trade',)","('trade',)"
1,"amertek inc <atekf> 1st qtr net shr profit 20 cts vs loss three cts     net profit 849,299 vs loss 82,512     revs 7,929,138 vs 3,849,224  reuter ;","('earn',)","('earn',)"
2,"zayre corp <zy> 4th qtr jan 31 net shr 73 cts vs 60 cts     net 43,792,000 vs 36,480,000     rev 1.78 billion vs 1.34 billion     year     shr 1.49 dlrs vs 1.61 dlrs     net 88,974,000 vs 94,647,000     rev 5.35 billion vs 4.04 billion     note: 4th qtr net includes pre-tax gain of 9.7 mln dlrs from sale of real estate and real estate development company.     fiscal 1986 net includes extraordinary charge of 3.5 mln dlrs, or six cts a share. all per share data reflects a two-for-one stock split paid june 25, 1986.  reuter ;","('earn',)","('earn',)"
3,<first montauk securities> in merger deal first montauk securities corp said it has reached a preliminary merger agreement with mcc-presidential inc.     the company said mcc shareholders would have a 25 pct stake in the combined company and would receive a cash distribution of about 35 cts per share.  reuter ;,"('acq',)","('acq',)"
4,spain cargo firms hire dockers to offset strike cargo handling companies said they were hiring twice the usual number of dockers to offset an intermittent strike in spanish ports.     spanish dockers began a nine-day strike on wednesday in which they only work alternate hours in protest at government plans to partially privatize port services.  reuter ;,"('ship',)","('ship',)"
5,"united financial banking <ufbc.o> 1st qtr net shr four cts vs 21 cts     net 29,862 vs 152,826     note: full name is united financial banking cos inc. net includes loan loss provision nil vs 40,000 dlrs.  reuter ;","('earn',)","('earn',)"
6,"tri-star <trsp> buys cineplex theater tri-star pictures inc said it agreed to acquire the roosevelt field century theatre from canada's cineplex odeon corp's rko century warner theatres inc for 17 mln dlrs.     the recently refurbished and expanded theater is located in garden city, n.y..  reuter ;","('acq',)","('acq',)"
7,"american express board approved nippon life purchase of shearson interest
","('acq',)","('acq',)"
8,"gulf barge freight higher in nearbys on call gulf barge freight rates continued to show a firmer tone in the nearbys on the assumption that changes in the gulf posted prices will encourage increases in both pik-and-roll activity and barges shipments, with a total of 21 barges traded this morning on the st louis merchants' exchange call session, versus nine yesterday, dealers said.     quotes included -  - this week mississippi river (granite city, mla if p/o) traded at 175 pct of tariff, five percentage points above yesterday's bid.  - next week mississippi (alton/granite city, mla if p/o) bid five points higher at 175 pct, offered at 190.  - five barges each week april midmississippi river (dubuque/south) traded at yesterday's bid of 170 pct.  - april illinois river (ex chicago) 160 pct bid, offered 10 points higher at 170.  - may same section 140 pct bid, offered five lower at 145.  - may midmississippi river (dubuque/south) bid 2-1/2 points higher at 142-1/2 pct, offered at 145.  - june/july lower mississippi river (memphis/cairo) offered at 120 pct, no bids.  - june/aug upper mississippi river (lacrosse/savage) offered at 150 pct, no bids.  - oct/nov midmississippi (dubuque/south, l/h nov clinton/south) 170 pct bid/177-1/2 offered - no comparison.  - december illinois river (ex chicago) 122-1/2 pct bid/127-1/2 offered - down 2-1/2 points on offer.  reuter ;","('ship',)","('acq',)"
9,"harmon <hrmn> to buy recycling firm for cash harmon industries inc said it signed a letter of intent to acquire for about 3.5 mln dlrs, a majority of the stock of snp inc, a portland, oregon-based company which has patents to reprocess used railroad ties into new ties for resale.  reuter ;","('acq',)","('acq',)"
10,"frontier insurance group inc <frtr> 4th qtr net oper shr 25 cts vs six cts     oper net 840,000 vs 139,000     revs 8,290,000 vs 4,743,000     avg shrs 3,335,029 vs 2,400,000     year     oper shr 97 cts vs 53 cts     oper net 2,546,000 vs 1,275,000     revs 28.8 mln vs 18.5 mln     avg shrs 2,635,665 vs 2,400,000     note: net excludes investment gain four cts shr vs loss six cts in quarter and gain five cts vs loss six cts in year.  reuter ;","('earn',)","('earn',)"
11,"ec cold aid food scheme may be made permanent emergency action to distribute european community (ec) food surpluses to the poor has proved so successful that the ec executive commission may propose a permanent scheme, a commission spokesman said.     almost 60,000 tonnes of food was taken out of ec stores between january 20, when agriculture ministers approved the scheme, and march 13, according to latest commission figures.     the food, including 30,000 tonnes of cereals, 6,000 tonnes of sugar, 4,000 tonnes of beef and 13,300 tonnes of butter, has been distributed to the needy through charities.     the present scheme was approved as an emergency measure to help poor people affected by this year's unusually cold winter and will end on march 31.     but the spokesman said the commission will consider whether to propose it be replaced by an all-year-round system.     the commission estimates that up to march 13 the temporary scheme cost between 63 and 68 mln european currency units (72/78 mln dlrs). this is above the 50 mln ecu (57 mln dlr) ceiling originally envisaged by the ministers.     however, commission sources said the real cost was small if account is taken of the expense of keeping food in store until its quality and value deteriorates.     on the other hand, the impact of the temporary scheme on ec food surpluses has been slight. ec surplus food stocks at january 31 included 1.28 mln tonnes of butter, 520,000 tonnes of beef and over 10 mln tonnes of cereals.  reuter ;","('carcass', 'grain', 'livestock', 'sugar')","('sugar',)"
12,"u.s. to set orange juice duties monday the commerce department on monday will set final dumping duties on frozen orange juice from brazil, department officials said.     a preliminary duty of 8.54 pct was set last oct 17 on the imports, which run at about 700 mln dlrs a year. commerce's ruling on monday will reset the duties on the basis of more detailed cost information, industry officials said.     the duties now are being assessed on a temporary basis, pending a final ruling by the u.s. international trade commission (itc) on whether the imports are injuring the domestic orange industry.     the itc ruled provisionally last june 18 that the domestic industry was being injured by brazilian orange juice imports.     a complaint that the brazilian imports were being dumped at below costs on the u.s. market was filed on behalf of u.s. growers by the florida citrus mutual, a lakeland, fla., group, alcoma packing co, inc, and barry citrus products.     u.s. officials say about half of the orange juice consumed in the united states comes from brazil.  reuter ;","('orange',)","('orange',)"
